date;weekday;weekend_jn;calls;calls_last_year;calls_last_year_same_weekday;calls_last_year_same_weekday_specialdaycorrection;checkins_known;checkouts_known;checkins_pred;checkouts_pred
2015-02-13;Zaterdag;1;3901;5318;5268;5268;26599;22649;26599;22649
2015-02-14;Zondag;1;2799;5268;3584;3584;19458;17989;19458;17989
2015-02-15;Maandag;0;2049;2670;2672;2672;13479;29618;13479;29618
2015-02-16;Dinsdag;0;3621;2672;5820;5820;19507;23599;19507;23599
2015-02-17;Woensdag;0;3585;5820;5454;5454;18731;22609;18731;22609
2015-02-18;Donderdag;0;3473;5454;5426;5426;18759;21505;18759;21505
2015-02-19;Vrijdag;0;3500;5426;5432;5432;19792;20948;19792;20948
2015-02-20;Zaterdag;1;3512;5432;5448;5448;22062;21354;22062;21354
2015-02-21;Zondag;1;2425;4245;3628;3628;18360;16236;18360;16236
2015-02-22;Maandag;0;1912;3628;2704;2704;11479;21582;11479;21582
2015-02-23;Dinsdag;0;3997;2704;6170;6170;20918;23290;20918;23290
2015-02-24;Woensdag;0;4103;5043;5532;5532;21367;23121;21367;23121
2015-02-25;Donderdag;0;3790;5532;5366;5366;20246;22243;20246;22243
2015-02-26;Vrijdag;0;3666;5366;5528;5528;20498;21899;20498;21899
2015-02-27;Zaterdag;1;3434;5528;5902;5902;22069;21361;22069;21361
2015-02-28;Zondag;1;2543;5902;4052;4052;19705;17179;19705;17179
2015-03-01;Maandag;0;1899;4052;3114;3114;11495;22244;11495;22244
2015-03-02;Dinsdag;0;3987;3114;5876;5876;20493;23510;20493;23510
2015-03-03;Woensdag;0;3735;5876;5612;5612;19486;21188;19486;21188
2015-03-04;Donderdag;0;3870;4990;5834;5834;20203;22183;20203;22183
2015-03-05;Vrijdag;0;4063;5834;5688;5688;21938;23336;21938;23336
2015-03-06;Zaterdag;1;3851;5688;5640;5640;24329;22617;24329;22617
2015-03-07;Zondag;1;2563;5640;3528;3528;19752;17139;19752;17139
2015-03-08;Maandag;0;2044;3528;2610;2610;12108;23275;12108;23275
2015-03-09;Dinsdag;0;4143;2610;6260;6260;21412;24617;21412;24617
2015-03-10;Woensdag;0;4044;6260;5860;5860;20870;23031;20870;23031
2015-03-11;Donderdag;0;4070;5860;5786;5786;21044;23404;21044;23404
2015-03-12;Vrijdag;0;4471;5786;5796;5796;23618;25458;23618;25458
2015-03-13;Zaterdag;1;3965;5796;5912;5912;24309;23299;24309;23299
2015-03-14;Zondag;1;2752;5912;3902;3902;20568;17905;20568;17905
2015-03-15;Maandag;0;2203;3902;2940;2940;12789;23468;12789;23468
2015-03-16;Dinsdag;0;4622;2940;6926;6926;23259;26565;23259;26565
2015-03-17;Woensdag;0;4265;6926;6454;6454;21752;24000;21752;24000
2015-03-18;Donderdag;0;4137;6454;6168;6168;21974;23839;21974;23839
2015-03-19;Vrijdag;0;4208;6168;5884;5884;23113;24545;23113;24545
2015-03-20;Zaterdag;1;4382;5884;5884;5884;26560;25570;26560;25570
2015-03-21;Zondag;1;3273;5884;4112;4112;23364;20656;23364;20656
2015-03-22;Maandag;0;2451;4112;3254;3254;14491;25335;14491;25335
2015-03-23;Dinsdag;0;4720;3254;7248;7248;24091;27977;24091;27977
2015-03-24;Woensdag;0;4435;7248;7644;7644;22681;25240;22681;25240
2015-03-25;Donderdag;0;4759;7644;7298;7298;24107;27162;24107;27162
2015-03-26;Vrijdag;0;4348;7298;7552;7552;23230;25150;23230;25150
2015-03-27;Zaterdag;1;4521;7552;6458;6458;26936;26154;26936;26154
2015-03-28;Zondag;1;3331;6458;4342;4342;23319;20807;23319;20807
2015-03-29;Maandag;0;2535;4342;3028;3028;14217;25539;14217;25539
2015-03-30;Dinsdag;0;5503;3028;7044;7044;27007;30694;27007;30694
2015-03-31;Woensdag;0;5487;7044;6932;6932;26552;29930;26552;29930
2015-04-01;Donderdag;0;5871;6122;7370;7370;30018;31332;30018;31332
2015-04-02;Vrijdag;0;6228;7370;7698;7698;35516;33108;35516;33108
2015-04-03;Zaterdag;1;5963;7698;8528;9592;40426;32869;40426;32869
2015-04-04;Zondag;1;4609;6426;5388;5388;28336;28830;28336;28830
2015-04-05;Maandag;0;2946;5388;4171;3900;16037;24911;16037;24911
2015-04-06;Dinsdag;0;3130;4768;7021;5094;18005;19862;18005;19862
2015-04-07;Woensdag;0;5855;8591;8234;8234;28383;31549;28383;31549
2015-04-08;Donderdag;0;5595;8234;8220;8220;27417;31076;27417;31076
2015-04-09;Vrijdag;0;5668;8220;7844;7844;28510;30774;28510;30774
2015-04-10;Zaterdag;1;5618;7844;7832;7832;30960;31032;30960;31032
2015-04-11;Zondag;1;3721;7832;5756;5756;24441;22598;24441;22598
2015-04-12;Maandag;0;2875;5756;4692;4692;15874;26209;15874;26209
2015-04-13;Dinsdag;0;6191;4692;9704;9704;30499;33786;30499;33786
2015-04-14;Woensdag;0;5842;9704;8866;8866;29346;31432;29346;31432
2015-04-15;Donderdag;0;6024;8866;9156;9156;30152;33122;30152;33122
2015-04-16;Vrijdag;0;5860;9156;9174;9174;30392;32535;30392;32535
2015-04-17;Zaterdag;1;6085;9174;9592;9592;34102;34028;34102;34028
2015-04-18;Zondag;1;4380;9592;6808;6808;28585;26641;28585;26641
2015-04-19;Maandag;0;3060;6808;3900;3900;16873;29159;16873;29159
2015-04-20;Dinsdag;0;6132;3900;5094;5094;30239;34480;30239;34480
2015-04-21;Woensdag;0;5923;4456;9786;9786;29351;32196;29351;32196
2015-04-22;Donderdag;0;6110;9786;9532;9532;30582;33490;30582;33490
2015-04-23;Vrijdag;0;6238;9532;10260;10260;32203;34438;32203;34438
2015-04-24;Zaterdag;1;6101;10260;6732;6732;37371;34020;37371;34020
2015-04-25;Zondag;1;4088;6732;6320;6320;32568;25171;32568;25171
2015-04-26;Maandag;0;3474;6320;4802;4802;19085;37057;19085;37057
2015-04-27;Dinsdag;0;7270;4802;9884;9884;35137;41366;35137;41366
2015-04-28;Woensdag;0;6953;9884;9116;9116;33732;37730;33732;37730
2015-04-29;Donderdag;0;7149;9116;9848;9848;35612;38591;35612;38591
2015-04-30;Vrijdag;0;7915;9848;6268;6268;39032;42528;39032;42528
2015-05-01;Zaterdag;1;5909;6268;7510;6268;35242;34010;35242;34010
2015-05-02;Zondag;1;5253;7313;5874;5874;32450;30594;32450;30594
2015-05-03;Maandag;0;3650;5874;4236;4236;19587;52978;19587;52978
2015-05-04;Dinsdag;0;7412;4236;8434;8434;35533;43148;35533;43148
2015-05-05;Woensdag;0;6348;8434;8120;8120;31336;34787;31336;34787
2015-05-06;Donderdag;0;6425;8120;8406;8406;31845;35241;31845;35241
2015-05-07;Vrijdag;0;7397;8406;8442;8442;36830;39653;36830;39653
2015-05-08;Zaterdag;1;6947;8442;7624;7624;38174;38100;38174;38100
2015-05-09;Zondag;1;5043;7624;5600;5600;31408;29753;31408;29753
2015-05-10;Maandag;0;3511;5600;3922;3922;19002;31474;19002;31474
2015-05-11;Dinsdag;0;7210;3922;8674;8674;34994;39580;34994;39580
2015-05-12;Woensdag;0;7132;8674;8394;8394;34784;38068;34784;38068
2015-05-13;Donderdag;0;7442;7107;8710;8710;36413;39947;36413;39947
2015-05-14;Vrijdag;0;7232;8710;8490;8490;37118;39186;37118;39186
2015-05-15;Zaterdag;1;7336;8490;7998;7998;40579;40167;40579;40167
2015-05-16;Zondag;1;5175;7998;5542;5542;32714;30617;32714;30617
2015-05-17;Maandag;0;3919;4837;3940;3940;20912;34941;20912;34941
2015-05-18;Dinsdag;0;7262;3444;9146;9146;35613;40405;35613;40405
2015-05-19;Woensdag;0;7120;9146;8760;8760;34946;38190;34946;38190
2015-05-20;Donderdag;0;7068;8760;8868;8868;35262;38632;35262;38632
2015-05-21;Vrijdag;0;7480;8868;8446;8446;37443;40846;37443;40846
2015-05-22;Zaterdag;1;7302;8446;8952;8952;40477;40051;40477;40051
2015-05-23;Zondag;1;5627;7850;6128;6128;35039;32847;35039;32847
2015-05-24;Maandag;0;4003;6128;4508;4508;21664;34383;21664;34383
2015-05-25;Dinsdag;0;7560;4508;9780;9780;36582;42271;36582;42271
2015-05-26;Woensdag;0;7375;9780;9426;9426;35794;39383;35794;39383
2015-05-27;Donderdag;0;7851;9426;10258;10258;38285;41857;38285;41857
2015-05-28;Vrijdag;0;7667;10258;10958;10958;39108;41434;39108;41434
2015-05-29;Zaterdag;1;8015;10958;10732;10732;48564;43641;48564;43641
2015-05-30;Zondag;1;5989;10732;8626;8626;36910;35711;36910;35711
2015-05-31;Maandag;0;4164;8626;5908;5908;22661;38091;22661;38091
2015-06-01;Dinsdag;0;6327;5908;7144;7144;37034;36571;37034;36571
2015-06-02;Woensdag;0;4384;7144;10184;7144;23616;25900;23616;25900
2015-06-03;Donderdag;0;7472;13026;12828;12828;36959;42499;36959;42499
2015-06-04;Vrijdag;0;6875;12828;13370;13370;35072;37499;35072;37499
2015-06-05;Zaterdag;1;6774;13370;13456;13456;38152;37985;38152;37985
2015-06-06;Zondag;1;4941;13456;9086;9086;32979;30485;32979;30485
2015-06-07;Maandag;0;3912;9086;7250;7250;21958;35280;21958;35280
2015-06-08;Dinsdag;0;7349;7250;14488;14488;36967;41145;36967;41145
2015-06-09;Woensdag;0;7296;14488;14176;14176;36366;39310;36366;39310
2015-06-10;Donderdag;0;7249;14176;14422;14422;36340;39937;36340;39937
2015-06-11;Vrijdag;0;7112;14422;10442;10442;36866;39660;36866;39660
2015-06-12;Zaterdag;1;7221;10442;8798;8798;41859;40991;41859;40991
2015-06-13;Zondag;1;5332;8798;6710;6710;36566;33130;36566;33130
2015-06-14;Maandag;0;4410;6710;5610;5610;24756;39705;24756;39705
2015-06-15;Dinsdag;0;7449;5610;10422;10422;38179;42277;38179;42277
2015-06-16;Woensdag;0;7282;10422;9898;9898;36931;39840;36931;39840
2015-06-17;Donderdag;0;6984;9898;10270;10270;35854;39261;35854;39261
2015-06-18;Vrijdag;0;6864;10270;9796;9796;36685;39319;36685;39319
2015-06-19;Zaterdag;1;6819;9796;9134;9134;41082;39658;41082;39658
2015-06-20;Zondag;1;5469;9134;7184;7184;39693;34726;39693;34726
2015-06-21;Maandag;0;4234;6476;5720;5720;25390;41080;25390;41080
2015-06-22;Dinsdag;0;7174;4569;13198;13198;38125;42085;38125;42085
2015-06-23;Woensdag;0;7041;13198;9448;9448;36541;39736;36541;39736
2015-06-24;Donderdag;0;7221;9448;10438;10438;37508;41457;37508;41457
2015-06-25;Vrijdag;0;7056;10438;10314;10314;37913;40411;37913;40411
2015-06-26;Zaterdag;1;7123;10314;9578;9578;44397;41677;44397;41677
2015-06-27;Zondag;1;5480;9578;6870;6870;42554;36830;42554;36830
2015-06-28;Maandag;0;4125;6870;5454;5454;25797;42827;25797;42827
2015-06-29;Dinsdag;0;6977;5454;10198;10198;36570;45656;36570;45656
2015-06-30;Woensdag;0;7104;10198;10410;10410;36397;41091;36397;41091
2015-07-01;Donderdag;0;7273;10410;9902;9902;38713;41076;38713;41076
2015-07-02;Vrijdag;0;7350;9902;9682;9682;38611;41880;38611;41880
2015-07-03;Zaterdag;1;7873;8390;9704;9704;46981;44584;46981;44584
2015-07-04;Zondag;1;5833;9704;7446;7446;42489;37671;42489;37671
2015-07-05;Maandag;0;4469;6115;6170;6170;27436;44038;27436;44038
2015-07-06;Dinsdag;0;8218;5043;11434;11434;43494;47751;43494;47751
2015-07-07;Woensdag;0;7932;11434;10838;10838;40581;44122;40581;44122
2015-07-08;Donderdag;0;7919;10838;10732;10732;41157;44794;41157;44794
2015-07-09;Vrijdag;0;7923;10732;11280;11280;42425;45588;42425;45588
2015-07-10;Zaterdag;1;8068;11280;10842;10842;47597;47967;47597;47967
2015-07-11;Zondag;1;6607;10842;7964;7964;45656;42631;45656;42631
2015-07-12;Maandag;0;4965;7964;6254;6254;29654;46689;29654;46689
2015-07-13;Dinsdag;0;8964;6254;12206;12206;46696;51911;46696;51911
2015-07-14;Woensdag;0;8751;12206;11398;11398;44252;48386;44252;48386
2015-07-15;Donderdag;0;8543;11398;11354;11354;43693;48172;43693;48172
2015-07-16;Vrijdag;0;8643;11354;11322;11322;45043;48982;45043;48982
2015-07-17;Zaterdag;1;8970;11322;11358;11358;52341;50770;52341;50770
2015-07-18;Zondag;1;7557;11358;8608;8608;52519;47301;52519;47301
2015-07-19;Maandag;0;5649;8608;7108;7108;33284;52347;33284;52347
2015-07-20;Dinsdag;0;9621;7108;12830;12830;51058;55705;51058;55705
2015-07-21;Woensdag;0;9677;12830;15536;15536;49034;53324;49034;53324
2015-07-22;Donderdag;0;9510;15536;16280;16280;48612;53162;48612;53162
2015-07-23;Vrijdag;0;9702;16280;16408;16408;50345;54554;50345;54554
2015-07-24;Zaterdag;1;9293;16408;14910;14910;53753;53732;53753;53732
2015-07-25;Zondag;1;7764;14910;9630;9630;51802;49284;51802;49284
2015-07-26;Maandag;0;5812;9630;7588;7588;34753;50912;34753;50912
2015-07-27;Dinsdag;0;10116;7588;12924;12924;54236;58537;54236;58537
2015-07-28;Woensdag;0;9595;12924;12402;12402;49446;53868;49446;53868
2015-07-29;Donderdag;0;10248;12402;13054;13054;52008;57454;52008;57454
2015-07-30;Vrijdag;0;9569;13054;12514;12514;49935;55366;49935;55366
2015-07-31;Zaterdag;1;9474;12514;13306;13306;54538;56685;54538;56685
2015-08-01;Zondag;1;8146;13306;9990;9990;56680;52502;56680;52502
2015-08-02;Maandag;0;6736;9990;8840;8840;42635;52827;42635;52827
2015-08-03;Dinsdag;0;11700;8840;14706;14706;66312;67138;66312;67138
2015-08-04;Woensdag;0;11132;14706;14494;14494;60444;63077;60444;63077
2015-08-05;Donderdag;0;10657;14494;15418;15418;59103;62369;59103;62369
2015-08-06;Vrijdag;0;10544;15418;15076;15076;59734;63179;59734;63179
2015-08-07;Zaterdag;1;11203;15076;15150;15150;67581;68260;67581;68260
2015-08-08;Zondag;1;10006;15150;14068;14068;71806;68377;71806;68377
2015-08-09;Maandag;0;8038;14068;11264;11264;58616;64168;58616;64168
2015-08-10;Dinsdag;0;12414;11264;18532;18532;80710;78970;80710;78970
2015-08-11;Woensdag;0;11996;18532;18526;18526;71862;75023;71862;75023
2015-08-12;Donderdag;0;11243;18526;18690;18690;69376;74062;69376;74062
2015-08-13;Vrijdag;0;11097;18690;18824;18824;70144;75171;70144;75171
2015-08-14;Zaterdag;1;11098;18824;10830;10830;77014;76251;77014;76251
2015-08-15;Zondag;1;7456;10830;12680;12680;60307;61894;60307;61894
2015-08-16;Maandag;0;7671;12680;10394;10394;58744;77062;58744;77062
2015-08-17;Dinsdag;0;11132;10394;14736;14736;77775;80264;77775;80264
2015-08-18;Woensdag;0;9961;14736;12666;12666;64646;70326;64646;70326
2015-08-19;Donderdag;0;9549;12666;12532;12532;61004;69000;61004;69000
2015-08-20;Vrijdag;0;8904;12532;12146;12146;59193;68086;59193;68086
2015-08-21;Zaterdag;1;9170;12146;11396;11396;60242;70027;60242;70027
2015-08-22;Zondag;1;6963;11396;9254;9254;53830;64183;53830;64183
2015-08-23;Maandag;0;5596;9254;6706;6706;41113;61304;41113;61304
2015-08-24;Dinsdag;0;8652;6706;11396;11396;55577;61875;55577;61875
2015-08-25;Woensdag;0;7981;11396;10380;10380;47780;54075;47780;54075
2015-08-26;Donderdag;0;7956;10380;10000;10000;46895;54542;46895;54542
2015-08-27;Vrijdag;0;7634;10000;9848;9848;45566;53617;45566;53617
2015-08-28;Zaterdag;1;7657;9848;10062;10062;48118;54505;48118;54505
2015-08-29;Zondag;1;6046;10062;6938;6938;44062;50294;44062;50294
2015-08-30;Maandag;0;4257;6938;5716;5716;28439;49110;28439;49110
2015-08-31;Dinsdag;0;7429;5716;10774;10774;41280;50004;41280;50004
2015-09-01;Woensdag;0;7731;10774;10314;10314;42787;45736;42787;45736
2015-09-02;Donderdag;0;7655;10314;10106;10106;40658;45105;40658;45105
2015-09-03;Vrijdag;0;8202;10106;10960;10960;44080;48262;44080;48262
2015-09-04;Zaterdag;1;8295;10960;11398;11398;48828;49756;48828;49756
2015-09-05;Zondag;1;6832;11398;8748;8748;45860;45080;45860;45080
2015-09-06;Maandag;0;4634;8748;5792;5792;29019;45628;29019;45628
2015-09-07;Dinsdag;0;7761;5792;10572;10572;42427;47787;42427;47787
2015-09-08;Woensdag;0;7997;10572;10212;10212;41404;46991;41404;46991
2015-09-09;Donderdag;0;8506;10212;10660;10660;43621;48947;43621;48947
2015-09-10;Vrijdag;0;7742;10660;10652;10652;41291;45826;41291;45826
2015-09-11;Zaterdag;1;7422;10652;10580;10580;44861;44803;44861;44803
2015-09-12;Zondag;1;5431;10580;7772;7772;38531;37158;38531;37158
2015-09-13;Maandag;0;4264;7772;5656;5656;24887;44432;24887;44432
2015-09-14;Dinsdag;0;7379;5656;10414;10414;38703;43830;38703;43830
2015-09-15;Woensdag;0;7392;10414;9710;9710;38132;41801;38132;41801
2015-09-16;Donderdag;0;7508;9710;10250;10250;38555;42795;38555;42795
2015-09-17;Vrijdag;0;7267;10250;9998;9998;38284;41801;38284;41801
2015-09-18;Zaterdag;1;7373;9998;10060;10060;43726;43132;43726;43132
2015-09-19;Zondag;1;5598;10060;7716;7716;38288;35727;38288;35727
2015-09-20;Maandag;0;4271;7716;5964;5964;24464;42101;24464;42101
2015-09-21;Dinsdag;0;7079;5964;10196;10196;36877;41725;36877;41725
2015-09-22;Woensdag;0;6945;10196;9756;9756;35849;39385;35849;39385
2015-09-23;Donderdag;0;7750;9756;9974;9974;39711;43570;39711;43570
2015-09-24;Vrijdag;0;7131;9974;9646;9646;38010;41178;38010;41178
2015-09-25;Zaterdag;1;7039;9646;9494;9494;41760;41225;41760;41225
2015-09-26;Zondag;1;5189;7678;7272;7272;34876;33133;34876;33133
2015-09-27;Maandag;0;3860;7272;5176;5176;22217;38208;22217;38208
2015-09-28;Dinsdag;0;6753;4392;9120;9120;34439;40075;34439;40075
2015-09-29;Woensdag;0;6252;9120;8578;8578;31862;35673;31862;35673
2015-09-30;Donderdag;0;6476;8578;9122;9122;33173;37438;33173;37438
2015-10-01;Vrijdag;0;6894;9122;8978;8978;36243;38791;36243;38791
2015-10-02;Zaterdag;1;7064;8978;9194;9194;40457;39743;40457;39743
2015-10-03;Zondag;1;5291;9194;6738;6738;33935;32042;33935;32042
2015-10-04;Maandag;0;3794;6738;4876;4876;21308;35361;21308;35361
2015-10-05;Dinsdag;0;6509;4876;8634;8634;32912;38059;32912;38059
2015-10-06;Woensdag;0;6948;8634;8462;8462;34430;37961;34430;37961
2015-10-07;Donderdag;0;6651;8462;9598;9598;33677;37090;33677;37090
2015-10-08;Vrijdag;0;6489;9598;8686;8686;34047;36492;34047;36492
2015-10-09;Zaterdag;1;6452;8686;9088;9088;37876;36862;37876;36862
2015-10-10;Zondag;1;4849;9088;6898;6898;32431;30089;32431;30089
2015-10-11;Maandag;0;3496;6898;4678;4678;20078;34238;20078;34238
2015-10-12;Dinsdag;0;6080;4678;8790;8790;30944;36026;30944;36026
2015-10-13;Woensdag;0;6318;8790;8262;8262;31932;35168;31932;35168
2015-10-14;Donderdag;0;6309;8262;8440;8440;32378;35565;32378;35565
2015-10-15;Vrijdag;0;6052;8440;7980;7980;32170;34805;32170;34805
2015-10-16;Zaterdag;1;6010;7980;7726;7726;35917;34740;35917;34740
2015-10-17;Zondag;1;4399;7726;5586;5586;30403;27581;30403;27581
2015-10-18;Maandag;0;3079;4758;4230;4230;18250;32249;18250;32249
2015-10-19;Dinsdag;0;6129;4230;8018;8018;31069;36094;31069;36094
2015-10-20;Woensdag;0;5972;8018;7626;7626;30367;33400;30367;33400
2015-10-21;Donderdag;0;5743;7626;7502;7502;29646;32850;29646;32850
2015-10-22;Vrijdag;0;5631;7502;7466;7466;30153;32533;30153;32533
2015-10-23;Zaterdag;1;5505;7466;7372;7372;33165;32293;33165;32293
2015-10-24;Zondag;1;4108;7372;5048;5048;29012;25965;29012;25965
2015-10-25;Maandag;0;3041;5048;3920;3920;17703;31166;17703;31166
2015-10-26;Dinsdag;0;5526;3920;7062;7062;28107;32904;28107;32904
2015-10-27;Woensdag;0;5146;7062;6606;6606;26576;29333;26576;29333
2015-10-28;Donderdag;0;4925;6606;6756;6756;26105;28538;26105;28538
2015-10-29;Vrijdag;0;4934;6756;7130;7130;27380;28782;27380;28782
2015-10-30;Zaterdag;1;4820;7130;7208;7208;31121;29003;31121;29003
2015-10-31;Zondag;1;3305;7208;4688;4688;26884;22129;26884;22129
2015-11-01;Maandag;0;2359;4688;3606;3606;14460;28512;14460;28512
2015-11-02;Dinsdag;0;4801;3606;7010;7010;24511;31221;24511;31221
2015-11-03;Woensdag;0;4893;7010;6474;6474;14699;15927;25380;27703
2015-11-04;Donderdag;0;4666;5596;6698;6698;14229;13759;24939;26779
2015-11-05;Vrijdag;0;4756;6698;6914;6914;15769;13384;25926;27891
2015-11-06;Zaterdag;1;4833;6914;6984;6984;25339;14179;29880;28645
2015-11-07;Zondag;1;3395;6984;4612;4612;24344;14636;24682;22157
2015-11-08;Maandag;0;2359;4612;3592;3592;9675;35572;14429;26276
2015-11-09;Dinsdag;0;5072;3592;7116;7116;9851;15508;26657;30088
2015-11-10;Woensdag;0;4972;7116;6400;6400;8306;10129;25759;28743
2015-11-11;Donderdag;0;5103;6400;6602;6602;8304;8316;26783;29303
2015-11-12;Vrijdag;0;4876;6602;6630;6630;11166;8697;26651;29242
2015-11-13;Zaterdag;1;5100;6630;6510;6510;18760;8624;30713;29940
2015-11-14;Zondag;1;4327;6510;4640;4640;17582;10128;28519;26190
2015-11-15;Maandag;0;2635;4640;2980;2980;7112;26625;15525;27904
2015-11-16;Dinsdag;0;5604;2980;6806;6806;7168;11626;28789;32224
2015-11-17;Woensdag;0;5091;6806;7206;7206;6754;6984;27192;28542
2015-11-18;Donderdag;0;5071;7206;6572;6572;6435;6558;26826;30008
2015-11-19;Vrijdag;0;5006;6572;6760;6760;9448;6778;27833;29958
2015-11-20;Zaterdag;1;4932;5879;6028;6028;15819;7191;30918;30326
2015-11-21;Zondag;1;3332;6028;4230;4230;15187;8173;26698;22144
2015-11-22;Maandag;0;2340;4230;3304;3304;6316;22264;15148;28844
2015-11-23;Dinsdag;0;5141;3304;6916;6916;5818;10775;27715;31474
2015-11-24;Woensdag;0;5071;6258;6876;6876;4996;5848;27327;29574
2015-11-25;Donderdag;0;4644;6876;7112;7112;5764;5330;26283;28705
2015-11-26;Vrijdag;0;4770;7112;7436;7436;8500;5445;27618;30116
2015-11-27;Zaterdag;1;4446;7436;7234;7234;14571;5990;29790;28944
2015-11-28;Zondag;1;3073;6503;4618;4618;14178;7247;25675;21518
2015-11-29;Maandag;0;2214;3946;3590;3590;4800;20729;14471;28343
2015-11-30;Dinsdag;0;5019;3590;8760;8760;4357;10502;26223;31743
2015-12-01;Woensdag;0;4951;8760;7412;7412;4396;4969;26704;28501
2015-12-02;Donderdag;0;5276;7412;8166;8166;4210;3807;27501;30658
2015-12-03;Vrijdag;0;5441;8166;7754;7754;7788;3895;29294;31506
2015-12-04;Zaterdag;1;5759;7754;8350;8350;22601;4364;39213;33244
2015-12-05;Zondag;1;4894;6838;6276;6276;44625;5945;32538;29817
2015-12-06;Maandag;0;3213;6276;4092;4092;17398;15297;18549;32163
2015-12-07;Dinsdag;0;4676;4092;4014;4014;8667;21563;25213;29379
2015-12-08;Woensdag;0;2968;4014;5532;4014;4132;45866;17455;19706
2015-12-09;Donderdag;0;4813;6893;6736;6736;3782;10884;26119;33822
2015-12-10;Vrijdag;0;4678;6736;7208;7208;5393;4831;26308;29532
2015-12-11;Zaterdag;1;4429;7208;7354;7354;9851;4153;28735;28023
2015-12-12;Zondag;1;3118;7354;5068;5068;8911;5349;24600;21711
2015-12-13;Maandag;0;2176;5068;3598;3598;3503;14039;14250;26912
2015-12-14;Dinsdag;0;4524;3598;7150;7150;4492;6419;24989;27886
2015-12-15;Woensdag;0;4455;7150;6412;6412;2350;3776;23371;26720
2015-12-16;Donderdag;0;4276;5812;6218;6218;2363;3073;22525;26380
2015-12-17;Vrijdag;0;4342;6218;6392;6392;3441;4093;23115;26680
2015-12-18;Zaterdag;1;4349;6392;6358;6358;6965;2615;26167;25885
2015-12-19;Zondag;1;3079;6358;4566;4566;7714;2863;23320;19244
2015-12-20;Maandag;0;2587;4566;3934;3934;3978;9126;15428;25885
2015-12-21;Dinsdag;0;4955;3934;7216;7216;3676;4727;25026;28923
2015-12-22;Woensdag;0;4773;7216;6878;6878;3972;3542;23502;26721
2015-12-23;Donderdag;0;4452;6878;5624;6218;7499;3907;31139;31655
2015-12-24;Vrijdag;0;3453;5624;3126;5624;10701;3033;25144;19698
2015-12-25;Zaterdag;1;2137;3126;6490;3126;5815;1820;15641;12489
2015-12-26;Zondag;1;3894;6490;8016;6490;13661;6353;30645;25617
2015-12-27;Maandag;0;4424;8016;7192;8016;12748;12121;32534;35370
2015-12-28;Dinsdag;0;7195;7192;7216;7192;12993;7636;35347;43746
2015-12-29;Woensdag;0;6911;10868;6878;10868;14939;8016;32984;42664
2015-12-30;Donderdag;0;7033;10846;5624;10846;25418;11246;38427;46796
2015-12-31;Vrijdag;0;5209;8540;3126;8540;25947;6189;30272;32361
2016-01-01;Zaterdag;1;3380;4500;6490;4500;10838;16107;20526;19467
2016-01-02;Zondag;1;4560;7846;8016;5706;11509;28633;29236;27893
2016-01-03;Maandag;0;3107;5706;7192;3990;5908;27015;26510;27318
2016-01-04;Dinsdag;0;5071;3990;10868;10868;4928;12020;27711;37076
2016-01-05;Woensdag;0;4466;5896;10846;6878;3554;11832;23608;36895
2016-01-06;Donderdag;0;2936;3634;8540;3634;3005;10010;18238;29558
2016-01-07;Vrijdag;0;4746;6526;4500;5744;2837;4759;26269;30518
2016-01-08;Zaterdag;1;4736;5744;7846;7846;2684;3987;25876;26960
2016-01-09;Zondag;1;3168;6428;5706;5706;2324;4720;19359;20792
2016-01-10;Maandag;0;2491;4950;3990;3990;1558;5193;13878;22459
2016-01-11;Dinsdag;0;5266;3214;5896;5896;1889;2346;25282;28737
2016-01-12;Woensdag;0;4797;6854;3634;6278;1294;1486;25258;28492
2016-01-13;Donderdag;0;4809;6278;6526;6526;1200;1367;23341;24812
2016-01-14;Vrijdag;0;4762;6638;5744;5744;1559;1533;23569;25538
2016-01-15;Zaterdag;1;4820;6732;6428;6428;2649;1525;27769;25966
2016-01-16;Zondag;1;3125;6966;4950;4950;1941;1791;21007;18915
2016-01-17;Maandag;0;2387;4386;3214;3214;1021;3167;13702;22985
2016-01-18;Dinsdag;0;4960;3342;6854;6854;1097;1725;25701;28125
2016-01-19;Woensdag;0;4700;7642;6278;6278;821;1144;23047;26919
2016-01-20;Donderdag;0;4484;8638;6638;6638;1005;967;23140;25632
2016-01-21;Vrijdag;0;4590;6780;6732;6732;1477;869;25142;25972
2016-01-22;Zaterdag;1;4669;7030;6966;6966;2427;979;29128;26982
2016-01-23;Zondag;1;3200;6300;4386;4386;2263;1308;25862;19946
2016-01-24;Maandag;0;2458;4360;3342;3342;1106;3122;15586;28798
2016-01-25;Dinsdag;0;5217;3430;7642;7642;896;1729;27714;31661
2016-01-26;Woensdag;0;4695;8048;8638;8638;767;1142;25960;28624
2016-01-27;Donderdag;0;4669;7000;6780;6780;799;951;25573;28479
2016-01-28;Vrijdag;0;4850;6882;7030;7030;1241;870;26330;30102
2016-01-29;Zaterdag;1;4897;6854;6300;6300;2247;904;31602;30151
2016-01-30;Zondag;1;3366;6672;4360;4360;1914;1371;28230;23029
2016-01-31;Maandag;0;2617;4218;3430;3430;899;3047;15991;32960
2016-02-01;Dinsdag;0;5334;3348;8048;8048;950;1504;28692;31885
2016-02-02;Woensdag;0;5010;7192;7000;7000;819;874;27330;28020
